,12,21,25,37,44,50,56,80,83,91,101,118,119,climatejusticescore
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
X1_region,,,,,,,,,,,,,,
East Asia & Pacific,0.007878459186628356,0.00610756039736033,0.011567029620797467,0.020138176837215572,0.012196743877736668,0.009992896416991099,0.00392738304702001,0.010085589870745747,0.008913088623295966,0.015877626095191878,0.006795195847638393,0.005791219764535382,0.014410782488773945,0.14048438529946713
Europe & Central Asia,0.007264513182106769,0.006204749677689273,0.009263017180360536,0.024748494961202735,0.017256721852100112,0.012976110412816756,0.002969310972219514,0.015376264912640719,0.005975805338154328,0.028149835940147142,0.005255433224930834,0.006484082402797956,0.017408309360325818,0.16152127555065787
Latin America & Caribbean,0.0057839919380037975,0.006766164560702496,0.014385856434261032,0.016967796311477858,0.013072064605985693,0.011502534072012323,0.004034189378771826,0.009767329470835981,0.006228389667964985,0.013092290757481922,0.005768839326568161,0.006533568481439624,0.012637851226862963,0.13104717075572417
Middle East & North Africa,0.006571664927075201,0.00636666885342049,0.015702203692691232,0.015115184225115045,0.0053125006006695995,0.00507669851110424,0.0015599746270146993,0.006248239397070386,0.00787243974593498,0.005908151046736193,0.0038527911459263447,0.0048950546817498625,0.007626699708978924,0.09663705677919983
North America,0.00901467187157493,0.006353382945691573,0.011677757498957312,0.0240189987632155,0.015571610909445342,0.013774589580496826,0.0032070049459537254,0.00981107879359684,0.006074807889134987,0.02529804332072385,0.009389959147670409,0.00720927890929812,0.021193147788074542,0.16607118592844713
South Asia,0.006627063327779771,0.009058514447297526,0.026375073800685704,0.02103469008694077,0.00939603271116275,0.01034294688882378,0.0011992914221140058,0.011217638663755004,0.025719623376178443,0.008770487575125928,0.008931040260319038,0.004277440878552224,0.010467356194256363,0.16478068571934243
Sub-Saharan Africa,0.00805000360445163,0.0151013690232008,0.018044579128298027,0.03085554684367377,0.016362936587587,0.01911330998254361,0.0012373181634893519,0.013522215147219631,0.039733085571598166,0.01408183008447126,0.010521939406781304,0.005490384034983887,0.014632368869061272,0.20166536816551295
Unknown,0.0059701766725731645,0.005658261536797124,0.010843869009130236,0.025533423589352858,0.01841782113423345,0.011621253382278337,0.0029524853834805415,0.024529179831541074,0.00897904437214357,0.03677735961916654,0.0062957438021029625,0.008181471524074996,0.025529378288116657,0.19319014329921344
