"","vocab"
"1","inform assess decis tool framework use support decision-mak make process"
"2","optim fire oper wildfir reservoir alloc rule suppli algorithm propos"
"3","state program unit us project nation law california agenc u."
"4","approach can requir potenti scale use provid need propos limit"
"5","stress gene genet toler breed express genom trait genotyp protein"
"6","condit may expect mediterranean futur current depend lead chang_condit climat"
"7","differ level high compar relat show two type result signific"
"8","product farm system livestock increas produc agroforestri agricultur improv effici"
"9","mortal exposur air pollut associ increas effect temperatur death 95"
"10","variabl africa climat south african west rainfal southern forecast sub-saharan"
"11","health public climat_health care health_climat human chang_health covid-19 popul health_chang"
"12","develop sustain goal achiev challeng integr toward promot framework chang_develop"
"13","energi electr renew power impact cycl consumpt assess life use"
"14","econom cost uncertainti invest benefit loss price damag valu growth"
"15","analysi use studi method indic result evalu base select perform"
"16","chang climat studi chang_chang climat_chang climat_studi chang_climat chang_studi respond effect_chang"
"17","plant co2 leaf growth effici increas water root stress respons"
"18","research review scienc literatur knowledg scientif gap systemat focus identifi"
"19","heat temperatur cool thermal effect surfac wave stress degre radiat"
"20","right reserv elsevi elsevi_right elsevi_reserv ltd ltd_reserv b.v b.v_reserv publish"
"21","farmer agricultur farm adopt practic smallhold percept studi technolog use"
"22","carbon mitig climat_mitig sequestr potenti mitig_chang storag mitig_climat offset chang_mitig"
"23","scenario futur project climat chang uncertainti climat_scenario increas pathway use"
"24","forest deforest forestri tropic redd forest_forest biomass chang_forest forest_climat chang"
"25","risk disast hazard reduct insur climat_risk risk_climat risk_chang disast_reduct chang_risk"
"26","barrier island fund financ small financi privat pacif constraint lack"
"27","local communiti knowledg indigen tradit peopl studi local_climat participatori community-bas"
"28","emiss greenhous gas reduct co2 reduc greenhous_emiss ghg transport reduc_emiss"
"29","temperatur popul plastic thermal respons variat trait adapt rate size"
"30","food secur agricultur nutrit insecur nexus diet climat_food consumpt chang_food"
"31","vulner assess capac vulner_chang exposur social vulner_climat indic sensit index"
"32","earli mountain record wind snow tropic period landslid warn glacier"
"33","govern institut capac learn network stakehold actor challeng organ collabor"
"34","speci popul distribut habitat divers rang genet invas plant suitabl"
"35","new increas mani recent futur world time year continu need"
"36","polit social articl argu conflict justic cultur frame practic way"
"37","household livelihood rural bangladesh poverti incom social gender access studi"
"38","environment environ social environment_climat climat_environment brazil chang_environment impact pollut environment_chang"
"39","manag practic integr manag_climat manag_chang chang_manag adapt_manag improv climat_manag manag_adapt"
"40","precipit temperatur season trend rainfal increas period annual year climat"
"41","conserv area protect biodivers wetland connect park habitat network effect"
"42","countri nation intern technolog develop agreement project transfer mechan programm"
"43","climat chang climat_climat chang_climat action nan address need challeng climat_chang"
"44","respons understand role import effect interact play process dynam play_role"
"45","marin fish ocean fisheri coral mangrov reef sea aquacultur arctic"
"46","build design construct perform hous effici engin standard residenti built"
"47","coastal rise sea level sea-level sea_rise storm coast eros delta"
"48","water irrig water_water suppli demand use water_manag scarciti avail chang_water"
"49","ecosystem servic ecolog restor landscap function provid benefit provis valu"
"50","flood hazard area damag flood_manag flood_flood mitig measur increas risk_flood"
"51","system drainag rainfal stormwat qualiti runoff wastewat treatment rainwat control"
"52","impact chang climat effect impact_chang climat_impact potenti negat increas affect"
"53","adapt climat_adapt adapt_chang adapt_climat chang_adapt capac chang measur adapt_adapt option"
"54","data spatial map monitor use area estim observ remot sens"
"55","river basin hydrolog flow lake watersh runoff catchment streamflow dam"
"56","region north south central asia northern america region_climat region_chang southern"
"57","polici climat_polici chang_polici integr polici_climat implement instrument polici_chang maker sector"
"58","crop yield rice wheat maiz irrig agricultur grain use varieti"
"59","urban citi green infrastructur area space climat_urban urban_urban urban_climat chang_urban"
"60","natur factor human activ driver influenc chang anthropogen pressur drive"
"61","extrem event weather frequenc extrem_event intens increas climat_extrem chang_extrem sever"
"62","china veget area increas plateau studi show index grassland provinc"
"63","tree growth speci stand pine forest plant site seed proven"
"64","drought sever index climat_drought drought_drought chang_drought drought_climat dri standard indic"
"65","land use chang cover land-us agricultur land_chang area expans use_chang"
"66","studi paper case sector industri european methodolog main tourism aim"
"67","global warm degre global_chang increas climat_global 1.5 global_climat limit level"
"68","percept public behavior survey experi perceiv particip educ communic individu"
"69","plan municip action climat_plan spatial chang_plan implement plan_chang plan_climat integr"
"70","soil -1 ha organ nitrogen nutrient fertil eros increas moistur"
"71","system resili framework social-ecolog enhanc system_climat resili_chang system_chang chang_system integr"
"72","strategi migrat cope climat_strategi chang_strategi strategi_climat strategi_chang adapt_strategi develop_strategi strategi_adapt"
"73","resourc groundwat de aquif recharg mexico chang_resourc resourc_climat manag_resourc la"
"74","diseas control pest outbreak pathogen transmiss infect malaria infecti incid"
"75","model simul predict use use_model dynam uncertainti model_model forecast model_use"
